temperature,30.1
samplerate,2.54 samples/s
average over x measurements,4096
lightintensity,156
beam,SS0.8x10.44
forcedistance,38.12
measuredistance,27.96
resulting conversionfact,81345.31478090465
taredist,347.5993

deflection in um,mass in g,Young's modulus
-0.0108,0.0,-0.0
1.5347,1.0,161544.85353758905
2.7345,2.0,181329.59350823762
5.3422,5.0,232041.9365843079
9.7616,10.0,253977.71546072152
18.584,20.0,266813.2659536568
